operator,name_from,name_to,distance,price1
ALIAE,LE MONTET OUEST,LE MONTET EST,,1.00
ALIAE,LE MONTET OUEST,MONTBEUGNY EST,,2.90
ALIAE,LE MONTET OUEST,MOLINET EST,,4.20
ALIAE,LE MONTET EST,LE MONTET OUEST,,1.00
ALIAE,MONTBEUGNY OUEST,MONTBEUGNY EST,,1.90
ALIAE,MONTBEUGNY OUEST,MOLINET EST,,3.20
ALIAE,MONTBEUGNY EST,MONTBEUGNY OUEST,,1.90
ALIAE,MONTBEUGNY EST,LE MONTET OUEST,,2.90
ALIAE,MOLINET OUEST,MOLINET EST,,1.30
ALIAE,MOLINET EST,MOLINET OUEST,,1.30
ALIAE,MOLINET EST,MONTBEUGNY OUEST,,3.20
ALIAE,MOLINET EST,LE MONTET OUEST,,4.20
