operator,name_from,name_to,distance,price1,price2,price3
AREA,AIGUEBELETTE,AIX NORD,24.00,3.50,5.50,7.60
AREA,AIGUEBELETTE,AIX SUD,17.00,2.90,4.40,6.30
AREA,AIGUEBELETTE,ALLONZIER,62.00,8.50,12.50,18.00
AREA,AIGUEBELETTE,ANNECY CENTRE,50.00,7.00,10.50,15.10
AREA,AIGUEBELETTE,ANNECY NORD,55.00,7.30,11.20,16.00
AREA,AIGUEBELETTE,BOURGOIN,41.00,5.30,7.90,11.20
AREA,AIGUEBELETTE,CHAMBERY NORD,10.00,1.60,2.60,3.80
AREA,AIGUEBELETTE,CHATUZANGE BARRIERE,143.00,17.40,27.10,38.50
AREA,AIGUEBELETTE,ISLE D'ABEAU CENTRE,47.00,6.20,9.50,13.80
AREA,AIGUEBELETTE,LA BAUME D'HOSTUN,127.00,14.50,22.50,32.80
AREA,AIGUEBELETTE,LA TOUR DU PIN,32.00,4.00,6.50,8.90
AREA,AIGUEBELETTE,LES ABRETS,17.00,2.10,3.60,4.90
AREA,AIGUEBELETTE,MOIRANS NORD,77.00,9.10,13.30,19.40
AREA,AIGUEBELETTE,RIVES,62.00,7.30,11.00,15.40
AREA,AIGUEBELETTE,RUMILLY,37.00,5.60,8.00,11.60
AREA,AIGUEBELETTE,SAINT GENIX SUR GUIERS,13.00,1.60,2.50,4.20
AREA,AIGUEBELETTE,SAINT MARCELLIN,114.00,12.80,20.10,29.00
AREA,AIGUEBELETTE,SEYNOD SUD,44.00,6.20,9.60,13.40
AREA,AIGUEBELETTE,ST MARTIN BELLEVUE A410,87.00,11.70,17.80,25.10
AREA,AIGUEBELETTE,ST QUENTIN FAL. BARRIERE,78.00,11.00,16.30,23.10
AREA,AIGUEBELETTE,ST QUENTIN FAL. BRETELLE,57.00,7.40,11.40,16.70
AREA,AIGUEBELETTE,TULLINS,90.00,10.40,15.50,22.30
AREA,AIGUEBELETTE,VILLEFONTAINE,53.00,6.90,10.50,15.20
AREA,AIGUEBELETTE,VINAY,104.00,11.90,18.00,26.10
AREA,AIGUEBELETTE,VOIRON,73.00,8.70,12.50,18.20
AREA,AIGUEBELETTE,VOREPPE BARRIERE,97.00,10.70,16.60,23.30
AREA,AITON,CHIGNIN BARRIERE,31.00,4.20,6.80,10.70
AREA,AITON,CHIGNIN LES MARCHES,25.00,2.80,4.50,6.70
AREA,AITON,CROLLES BARRIERE,61.00,8.00,12.40,17.80
AREA,AITON,CROLLES BRIGNOUD,48.00,7.30,11.10,13.30
AREA,AITON,LE TOUVET,37.00,4.60,7.40,10.90
AREA,AITON,MONTMELIAN,18.00,2.20,3.30,4.70
AREA,AITON,PONTCHARRA,28.00,4.10,6.20,8.60
AREA,AITON,STE HELENE BARRIERE,17.00,2.00,3.20,5.10
AREA,AIX NORD,AIGUEBELETTE,24.00,3.50,5.50,7.60
AREA,AIX NORD,AIX SUD,7.00,0.90,1.40,1.90
AREA,AIX NORD,ALLONZIER,38.00,4.50,6.80,9.50
AREA,AIX NORD,ANNECY CENTRE,26.00,3.40,5.00,7.30
AREA,AIX NORD,ANNECY NORD,31.00,3.80,6.10,8.00
AREA,AIX NORD,BOURGOIN,65.00,9.60,13.70,20.20
AREA,AIX NORD,CHAMBERY NORD,14.00,2.00,3.10,4.50
AREA,AIX NORD,CHATUZANGE BARRIERE,167.00,21.30,33.20,45.70
AREA,AIX NORD,ISLE D'ABEAU CENTRE,71.00,9.80,15.20,21.80
AREA,AIX NORD,LA BAUME D'HOSTUN,151.00,17.30,28.00,39.30
AREA,AIX NORD,LA TOUR DU PIN,56.00,8.00,12.30,18.00
AREA,AIX NORD,LES ABRETS,41.00,6.30,9.50,13.60
AREA,AIX NORD,MOIRANS NORD,101.00,11.50,18.20,27.00
AREA,AIX NORD,RIVES,86.00,10.20,16.50,22.80
AREA,AIX NORD,RUMILLY,13.00,1.70,2.40,3.90
AREA,AIX NORD,SAINT GENIX SUR GUIERS,37.00,5.80,7.90,11.90
AREA,AIX NORD,SAINT MARCELLIN,138.00,15.80,25.40,36.10
AREA,AIX NORD,SEYNOD SUD,20.00,2.50,3.70,5.60
AREA,AIX NORD,ST MARTIN BELLEVUE A410,63.00,7.70,11.40,16.60
AREA,AIX NORD,ST QUENTIN FAL. BARRIERE,102.00,14.40,22.10,32.80
AREA,AIX NORD,ST QUENTIN FAL. BRETELLE,81.00,10.90,17.00,25.10
AREA,AIX NORD,TULLINS,114.00,12.90,20.20,28.60
AREA,AIX NORD,VILLEFONTAINE,77.00,10.40,15.30,23.00
AREA,AIX NORD,VINAY,128.00,14.60,23.00,32.30
AREA,AIX NORD,VOIRON,97.00,11.10,17.10,24.40
AREA,AIX NORD,VOREPPE BARRIERE,121.00,13.60,21.60,30.80
AREA,AIX SUD,AIGUEBELETTE,17.00,2.90,4.40,6.30
AREA,AIX SUD,AIX NORD,7.00,0.90,1.40,1.90
AREA,AIX SUD,ALLONZIER,45.00,5.10,7.60,10.70
AREA,AIX SUD,ANNECY CENTRE,33.00,4.20,6.50,9.10
AREA,AIX SUD,ANNECY NORD,38.00,4.50,6.80,9.40
AREA,AIX SUD,BOURGOIN,58.00,8.30,12.60,18.70
AREA,AIX SUD,CHAMBERY NORD,7.00,1.00,1.40,2.30
AREA,AIX SUD,CHATUZANGE BARRIERE,160.00,20.70,31.70,45.20
AREA,AIX SUD,ISLE D'ABEAU CENTRE,64.00,9.50,14.00,20.60
AREA,AIX SUD,LA BAUME D'HOSTUN,144.00,16.70,27.30,37.90
AREA,AIX SUD,LA TOUR DU PIN,49.00,6.90,10.90,15.30
AREA,AIX SUD,LES ABRETS,34.00,5.40,7.80,11.50
AREA,AIX SUD,MOIRANS NORD,94.00,11.40,17.30,24.90
AREA,AIX SUD,RIVES,79.00,9.80,14.80,21.20
AREA,AIX SUD,RUMILLY,20.00,2.40,3.80,5.20
AREA,AIX SUD,SAINT GENIX SUR GUIERS,30.00,4.80,6.80,10.50
AREA,AIX SUD,SAINT MARCELLIN,131.00,15.20,24.50,34.40
AREA,AIX SUD,SEYNOD SUD,27.00,3.30,4.90,6.90
