operator,name_from,name_to,distance,price1
ESCOTA,SISTERON-NORD,LA SAULCE,,2.80
ESCOTA,LA SAULCE,SISTERON-NORD,,2.80
ESCOTA,SISTERON-SUD,LA SAULCE,,3.70
ESCOTA,LA SAULCE,SISTERON-SUD,,3.70
ESCOTA,SISTERON-SUD,SISTERON-NORD,,0.90
ESCOTA,SISTERON-NORD,SISTERON-SUD,,0.90
ESCOTA,AUBIGNOSC,LA SAULCE,,4.50
ESCOTA,LA SAULCE,AUBIGNOSC,,4.50
ESCOTA,AUBIGNOSC,SISTERON-NORD,,1.80
ESCOTA,SISTERON-NORD,AUBIGNOSC,,1.80
ESCOTA,AUBIGNOSC,SISTERON-SUD,,0.60
ESCOTA,SISTERON-SUD,AUBIGNOSC,,0.60
ESCOTA,PEYRUIS,LA SAULCE,,5.70
ESCOTA,LA SAULCE,PEYRUIS,,5.70
ESCOTA,PEYRUIS,SISTERON-NORD,,3.30
ESCOTA,SISTERON-NORD,PEYRUIS,,3.30
ESCOTA,PEYRUIS,SISTERON-SUD,,1.80
ESCOTA,SISTERON-SUD,PEYRUIS,,1.80
ESCOTA,PEYRUIS,AUBIGNOSC,,1.20
ESCOTA,AUBIGNOSC,PEYRUIS,,1.20
ESCOTA,LA BRILLANNE,LA SAULCE,,7.50
ESCOTA,LA SAULCE,LA BRILLANNE,,7.50
ESCOTA,LA BRILLANNE,SISTERON-NORD,,5.30
ESCOTA,SISTERON-NORD,LA BRILLANNE,,5.30
ESCOTA,LA BRILLANNE,SISTERON-SUD,,4.10
ESCOTA,SISTERON-SUD,LA BRILLANNE,,4.10
ESCOTA,LA BRILLANNE,AUBIGNOSC,,3.00
ESCOTA,AUBIGNOSC,LA BRILLANNE,,3.00
ESCOTA,LA BRILLANNE,PEYRUIS,,1.60
ESCOTA,PEYRUIS,LA BRILLANNE,,1.60
ESCOTA,MANOSQUE,LA SAULCE,,9.40
ESCOTA,LA SAULCE,MANOSQUE,,9.40
ESCOTA,MANOSQUE,SISTERON-NORD,,7.70
ESCOTA,SISTERON-NORD,MANOSQUE,,7.70
ESCOTA,MANOSQUE,SISTERON-SUD,,5.60
ESCOTA,SISTERON-SUD,MANOSQUE,,5.60
ESCOTA,MANOSQUE,AUBIGNOSC,,4.90
ESCOTA,AUBIGNOSC,MANOSQUE,,4.90
ESCOTA,MANOSQUE,PEYRUIS,,3.40
ESCOTA,PEYRUIS,MANOSQUE,,3.40
ESCOTA,MANOSQUE,LA BRILLANNE,,1.60
ESCOTA,LA BRILLANNE,MANOSQUE,,1.60
ESCOTA,ST-PAUL-LEZ-DURANCE,LA SAULCE,,11.70
ESCOTA,LA SAULCE,ST-PAUL-LEZ-DURANCE,,11.70
ESCOTA,ST-PAUL-LEZ-DURANCE,SISTERON-NORD,,10.10
ESCOTA,SISTERON-NORD,ST-PAUL-LEZ-DURANCE,,10.10
ESCOTA,ST-PAUL-LEZ-DURANCE,SISTERON-SUD,,7.50
ESCOTA,SISTERON-SUD,ST-PAUL-LEZ-DURANCE,,7.50
ESCOTA,ST-PAUL-LEZ-DURANCE,AUBIGNOSC,,6.60
ESCOTA,AUBIGNOSC,ST-PAUL-LEZ-DURANCE,,6.60
ESCOTA,ST-PAUL-LEZ-DURANCE,PEYRUIS,,5.40
ESCOTA,PEYRUIS,ST-PAUL-LEZ-DURANCE,,5.40
ESCOTA,ST-PAUL-LEZ-DURANCE,LA BRILLANNE,,3.50
ESCOTA,LA BRILLANNE,ST-PAUL-LEZ-DURANCE,,3.50
ESCOTA,ST-PAUL-LEZ-DURANCE,MANOSQUE,,1.70
ESCOTA,MANOSQUE,ST-PAUL-LEZ-DURANCE,,1.70
ESCOTA,PERTUIS,LA SAULCE,,13.60
ESCOTA,LA SAULCE,PERTUIS,,13.60
ESCOTA,PERTUIS,SISTERON-NORD,,12.50
ESCOTA,SISTERON-NORD,PERTUIS,,12.50
ESCOTA,PERTUIS,SISTERON-SUD,,10.20
ESCOTA,SISTERON-SUD,PERTUIS,,10.20
ESCOTA,PERTUIS,AUBIGNOSC,,9.20
ESCOTA,AUBIGNOSC,PERTUIS,,9.20
ESCOTA,PERTUIS,PEYRUIS,,7.90
ESCOTA,PEYRUIS,PERTUIS,,7.90
ESCOTA,PERTUIS,LA BRILLANNE,,5.80
ESCOTA,LA BRILLANNE,PERTUIS,,5.80
ESCOTA,PERTUIS,MANOSQUE,,4.00
ESCOTA,MANOSQUE,PERTUIS,,4.00
ESCOTA,PERTUIS,ST-PAUL-LEZ-DURANCE,,2.50
ESCOTA,ST-PAUL-LEZ-DURANCE,PERTUIS,,2.50
ESCOTA,AIX (A51),LA SAULCE,,14.90
ESCOTA,LA SAULCE,AIX (A51),,14.90
ESCOTA,AIX (A51),SISTERON-NORD,,14.00
ESCOTA,SISTERON-NORD,AIX (A51),,14.00
ESCOTA,AIX (A51),SISTERON-SUD,,11.50
ESCOTA,SISTERON-SUD,AIX (A51),,11.50
ESCOTA,AIX (A51),AUBIGNOSC,,10.90
ESCOTA,AUBIGNOSC,AIX (A51),,10.90
ESCOTA,AIX (A51),PEYRUIS,,9.10
ESCOTA,PEYRUIS,AIX (A51),,9.10
ESCOTA,AIX (A51),LA BRILLANNE,,7.20
ESCOTA,LA BRILLANNE,AIX (A51),,7.20
ESCOTA,AIX (A51),MANOSQUE,,5.60
ESCOTA,MANOSQUE,AIX (A51),,5.60
ESCOTA,AIX (A51),ST-PAUL-LEZ-DURANCE,,4.00
ESCOTA,ST-PAUL-LEZ-DURANCE,AIX (A51),,4.00
ESCOTA,AIX (A51),PERTUIS,,1.40
ESCOTA,PERTUIS,AIX (A51),,1.40
