operator,name_from,name_to,distance,price1,price2,price3,price4,price5,source
SANEF,ABBEVILLE EST N°22,ABBEVILLE NORD N°23,,1.10,,,,,official-2026
SANEF,ABBEVILLE EST N°22,AMIENS NORD N°20,,3.90,,,,,official-2026
SANEF,ABBEVILLE EST N°22,AMIENS OUEST N°19,,4.10,,,,,official-2026
SANEF,ABBEVILLE EST N°22,AMIENS SUD (péage de Dury),,5.20,,,,,official-2026
SANEF,ABBEVILLE EST N°22,AUMALE N°12,,7.00,,,,,official-2026
SANEF,ABBEVILLE EST N°22,BEAUVAIS CENTRE N°14,,9.40,,,,,official-2026
SANEF,ABBEVILLE EST N°22,BEAUVAIS NORD N°15,,9.30,,,,,official-2026
SANEF,ABBEVILLE EST N°22,BERCK N°25,,4.90,,,,,official-2026
SANEF,ABBEVILLE EST N°22,BOULOGNE EST (péage d'Herquelingue),,10.30,,,,,official-2026
SANEF,ABBEVILLE EST N°22,BOULOGNE SUD N°28,,8.50,,,,,official-2026
SANEF,ABBEVILLE EST N°22,ESSERTAUX N°17,,5.30,,,,,official-2026
SANEF,ABBEVILLE EST N°22,ETAPLES / LE TOUQUET N°26,,6.50,,,,,official-2026
SANEF,ABBEVILLE EST N°22,HARDIVILLERS N°16,,6.90,,,,,official-2026
SANEF,ABBEVILLE EST N°22,L'ISLE-ADAM (péage d'Amblainville),,14.80,,,,,official-2026
SANEF,ABBEVILLE EST N°22,LA CÔTE PICARDE N°24 A16,,2.70,,,,,official-2026
SANEF,ABBEVILLE EST N°22,MÉRU N°13,,10.90,,,,,official-2026
SANEF,ABBEVILLE EST N°22,NEUFCHÂTEL-EN-BRAY (A28),,8.10,,,,,official-2026
SANEF,ABBEVILLE EST N°22,NEUFCHÂTEL-HARDELOT N°27,,7.20,,,,,official-2026
SANEF,ABBEVILLE EST N°22,POIX-DE-PICARDIE N°13 A29,,5.40,,,,,official-2026
SANEF,ABBEVILLE EST N°22,SALOUËL N°18,,4.20,,,,,official-2026
SANEF,ABBEVILLE EST N°22,VALLÉE DE LA NIÈVRE N°21,,1.60,,,,,official-2026
SANEF,ABBEVILLE NORD N°23,ABBEVILLE EST N°22,,1.10,,,,,official-2026
SANEF,ABBEVILLE NORD N°23,AMIENS NORD N°20,,4.50,,,,,official-2026
SANEF,ABBEVILLE NORD N°23,AMIENS OUEST N°19,,4.80,,,,,official-2026
SANEF,ABBEVILLE NORD N°23,AMIENS SUD (péage de Dury),,6.00,,,,,official-2026
SANEF,ABBEVILLE NORD N°23,AUMALE N°12,,7.30,,,,,official-2026
