operator,name_from,name_to,distance,price1,price2,price3,price4,price5,source
SAPN,BEAUTOT / A151,BOLBEC N°7,,4.30,,,,,official-2026
SAPN,BEAUTOT / A151,FECAMP N°8,,2.90,,,,,official-2026
SAPN,BEAUTOT / A151,LE HAVRE N°5 / A131,,6.70,,,,,official-2026
SAPN,BEAUTOT / A151,ST-ROMAIN-DE-COLBOSC N°6 A29 NORD,,4.90,,,,,official-2026
SAPN,BEAUTOT / A151,ST-SAËNS N°10 / A28,,2.00,,,,,official-2026
SAPN,BEAUTOT / A151,YVETOT / A150,,1.40,,,,,official-2026
SAPN,BEUZEVILLE N°28,BOURG-ACHARD N°25,,4.60,,,,,official-2026
SAPN,BEUZEVILLE N°28,BOURNEVILLE N°26,,4.60,,,,,official-2026
SAPN,BEUZEVILLE N°28,CAEN,,6.10,,,,,official-2026
SAPN,BEUZEVILLE N°28,CAGNY (A813),,6.10,,,,,official-2026
SAPN,BEUZEVILLE N°28,CHAUFOUR N°15 à GAILLON N°17,,9.10,,,,,official-2026
SAPN,BEUZEVILLE N°28,CHENARD N°1 (A29),,1.90,,,,,official-2026
SAPN,BEUZEVILLE N°28,CRIQUEBEUF N°20 à MAISON-BRÛLEE N°24 / ROUEN LES ESSARTS (A139),,4.60,,,,,official-2026
SAPN,BEUZEVILLE N°28,DOZULÉ N°30,,4.10,,,,,official-2026
SAPN,BEUZEVILLE N°28,HEUDEBOUVILLE N°18,,7.10,,,,,official-2026
SAPN,BEUZEVILLE N°28,INCARVILLE N°19 / A154,,7.00,,,,,official-2026
SAPN,BEUZEVILLE N°28,LA RIVIÈRE-SAINT-SAUVEUR N°3 (A29),,1.90,,,,,official-2026
SAPN,BEUZEVILLE N°28,PLATEAU N°2 (A29),,1.90,,,,,official-2026
SAPN,BEUZEVILLE N°28,POISSY / ORGEVAL N°7 à MANTES-SUD N°12,,12.10,,,,,official-2026
SAPN,BEUZEVILLE N°28,"PONT L'EVÊQUE, DEAUVILLE (A132)",,1.90,,,,,official-2026
SAPN,BEUZEVILLE N°28,TROARN N°31,,6.10,,,,,official-2026
SAPN,BOLBEC N°7,BEAUTOT / A151,,4.30,,,,,official-2026
SAPN,BOLBEC N°7,FECAMP N°8,,1.60,,,,,official-2026
SAPN,BOLBEC N°7,LE HAVRE N°5 / A131,,2.50,,,,,official-2026
SAPN,BOLBEC N°7,ST-ROMAIN-DE-COLBOSC N°6 A29 NORD,,1.00,,,,,official-2026
SAPN,BOLBEC N°7,ST-SAËNS N°10 / A28,,5.90,,,,,official-2026
SAPN,BOLBEC N°7,YVETOT / A150,,3.50,,,,,official-2026
SAPN,BONNIÈRES-SUR-SEINE (A13a),POISSY / ORGEVAL N°7 à MANTES-SUD N°12,,3.00,,,,,official-2026
