operator,name_from,name_to,vehicle_class,price,distance,effective_from,effective_to,season_start,season_end,source_id
ALIAE,LE MONTET EST,LE MONTET OUEST,1,1.00,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,LE MONTET OUEST,LE MONTET EST,1,1.00,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,LE MONTET OUEST,MOLINET EST,1,4.20,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,LE MONTET OUEST,MONTBEUGNY EST,1,2.90,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MOLINET EST,LE MONTET OUEST,1,4.20,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MOLINET EST,MOLINET OUEST,1,1.30,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MOLINET EST,MONTBEUGNY OUEST,1,3.20,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MOLINET OUEST,MOLINET EST,1,1.30,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MONTBEUGNY EST,LE MONTET OUEST,1,2.90,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MONTBEUGNY EST,MONTBEUGNY OUEST,1,1.90,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MONTBEUGNY OUEST,MOLINET EST,1,3.20,,2026-02-01,2027-01-31,,,aliae-class1-2026
ALIAE,MONTBEUGNY OUEST,MONTBEUGNY EST,1,1.90,,2026-02-01,2027-01-31,,,aliae-class1-2026
APRR,ALLAINES,AMBERIEU,1,58.20,462.61,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,ARLAY,1,52.30,403.12,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,AUXERRE NORD,1,30.10,160.62,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,AUXERRE SUD,1,30.10,172.32,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,AVALLON,1,34.30,216.42,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,BALAN,1,59.10,486.64,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINES,BAUME-LES-DAMES,1,55.40,443.12,2026-02-01,2027-01-31,,,aprr-class1-2026
