operator,physical_name,tariff_name,lat,lon,max_distance_km,source_id
SANEF,Chamant,PARIS / ROISSY (péage de Chamant),49.2157943,2.6277637,0.8,sanef-class1-2026
SANEF,Senlis-Chamant,PARIS / ROISSY (péage de Chamant),49.2156450,2.6269079,0.8,sanef-class1-2026
SANEF,Saint Witz,SURVILLIERS / SAINT-WITZ N°7,49.0848207,2.5509795,0.8,sanef-class1-2026
SANEF,Vallee de la Somme,PÉRONNE / VALLEE DE LA SOMME N°13,49.8769621,2.8398291,0.8,sanef-class1-2026
SANEF,Fontaine Notre-Dame,CAMBRAI N°14,50.1756716,3.1921790,0.8,sanef-cambrai-exit14-2025
SAPN,Buchelay,POISSY / ORGEVAL N°7 à MANTES-SUD N°12,48.9836349,1.6811606,0.8,sapn-class1-2026
AREA,Saint Quentin Fallavier Barriere,ST QUENTIN FAL. BARRIERE,45.6545711,5.0946733,0.8,area-class1-2026
AREA,Saint Quentin Fallavier Bretelle,ST QUENTIN FAL. BRETELLE,45.6485053,5.1203626,0.8,area-class1-2026
ESCOTA,Aubignosc Est,AUBIGNOSC,44.1251724,5.9785810,0.8,escota-class1-2026
ESCOTA,Aubignosc OUEST,AUBIGNOSC,44.1244462,5.9844296,0.8,escota-class1-2026
ESCOTA,Saint Paul Lez Durance,ST-PAUL-LEZ-DURANCE,43.7025057,5.7347442,0.8,escota-class1-2026
ESCOTA,Meyrargues,AIX (A51),43.6613054,5.5035341,0.8,escota-class1-2026
APRR,Thillois,REIMS OUEST (THILLOIS),49.2502487,3.9585779,0.8,aprr-class1-2026
APRR,Reims Ouest,REIMS OUEST (THILLOIS),49.2496005,3.9558387,0.8,aprr-class1-2026
APRR,Mourmelon,CHALONS MOURMELON,49.0447325,4.3227302,0.8,aprr-class1-2026
APRR,La Veuve,CHALONS MOURMELON,49.0422244,4.3209820,0.8,aprr-class1-2026
APRR,Chalons La Veuve,CHALONS MOURMELON,49.0428396,4.3217468,0.8,aprr-class1-2026
APRR,Peage De Montreuil Aux Lions,MONTREUIL AUX LIONS,49.0096803,3.1456152,0.8,aprr-class1-2026
