name,osm_name,operator,lat,lon,type,source,route
Abbeville-Est,Abbeville-Est,OFFICIAL,50.0998052,1.8695407,closed,data.gouv.fr-2025,80A901640CD
Abbeville-Nord,Abbeville-Nord,OFFICIAL,50.1353798,1.8110840,closed,data.gouv.fr-2025,80A901645CD
Ablis,Ablis,OFFICIAL,48.5287839,1.8322206,closed,data.gouv.fr-2025,78A901105CD
Agde-Pezenas,Agde-Pezenas,OFFICIAL,43.3739492,3.4179327,closed,data.gouv.fr-2025,34A900915CD
Agen,Agen,OFFICIAL,44.1647839,0.6054386,closed,data.gouv.fr-2025,47A906215CD
Aigrefeuille,Aigrefeuille,OFFICIAL,47.0692520,-1.4373991,closed,data.gouv.fr-2025,44A908310CD
Aiguebelette,Aiguebelette,OFFICIAL,45.5768702,5.7992554,closed,data.gouv.fr-2025,73A904310CD
Aiguillon,Aiguillon,OFFICIAL,44.2845846,0.2699251,closed,data.gouv.fr-2025,47A906210CD
Aiton,Aiton,OFFICIAL,45.5559509,6.2481889,closed,data.gouv.fr-2025,73A904345CD
Aix Nord,Aix Nord,OFFICIAL,45.7165999,5.9222099,closed,data.gouv.fr-2025,73A904120CD
Aix Sud,Aix Sud,OFFICIAL,45.6536414,5.9215420,closed,data.gouv.fr-2025,73A904115CD
Alencon Nord,Alencon Nord,OFFICIAL,48.4530085,0.1237948,closed,data.gouv.fr-2025,61A902805CD
Alencon Nord,Alencon Nord,OFFICIAL,48.4549151,0.1302197,closed,data.gouv.fr-2025,A0028
Alencon Sud,Alencon Sud,OFFICIAL,48.3979004,0.1045287,closed,data.gouv.fr-2025,72A902835CD
Allaines,Allaines,OFFICIAL,48.2051965,1.8460500,closed,data.gouv.fr-2025,28A901005CD
Allainville,Allainville,OFFICIAL,48.4564621,1.9084417,closed,data.gouv.fr-2025,78A901015CD
Allonzier,Allonzier,OFFICIAL,45.9901721,6.1277112,closed,data.gouv.fr-2025,74A941002CD
Amberieu,Amberieu,OFFICIAL,45.9777914,5.3126394,closed,data.gouv.fr-2025,01A904240CD
Amblainville,Amblainville,OFFICIAL,49.2052773,2.1689904,mainline,data.gouv.fr-2025,A0016
