operator,name,distance,price1,price2,price3,price4,price5
ASF,VIENNE SUD,,1.9,2.5,3.1,3.8,1.2
ASF,CONDRIEU,,1.1,1.1,1.1,1.1,1.1
ASF,COUDOUX,,2.0,3.2,4.2,5.1,1.1
ASF,L UNION,,0.5,0.7,1.0,1.3,0.2
ASF,PEAGE DE TOULOUSE EST,,1.7,2.7,4.2,5.7,1.1
ASF,GUICHE,,1.3,1.3,1.3,1.3,1.3
ASF,LESTELLE DE SAINT MARTORY,,1.5,2.4,3.4,4.3,0.8
ASF,PEAGE DE MURET,,1.8,2.9,4.3,5.9,1.0
AUTOROUTES DU SUD DE LA FRANCE,PEAGE DE BIRIATOU,,1.9,3.0,4.4,5.8,1.1
ASF,ST JEAN DE LUZ SUD,,0.7,1.2,1.6,2.2,0.4
ASF,PEAGE DE LA NEGRESSE,,2.8,4.0,6.2,8.6,1.6
ASF,BIARRITZ,,1.2,2.0,2.9,3.8,0.7
ASF,BAYONNE SUD,,0.8,1.3,1.6,2.1,0.4
ASF,ONDRES,,1.0,1.7,2.4,3.1,0.6
ASF,CAPBRETON,,2.0,3.1,4.6,5.9,1.2
ASF,PEAGE DE BENESSE MARENNE,,4.3,6.6,9.9,12.6,2.8
ASF,MARTEL,,0.8,1.2,1.7,2.4,0.4
ASF,PEAGE DE THENON,,8.6,13.1,18.5,26.1,5.2
ASF,LA BACHELLERIE,,3.4,5.2,8.0,11.2,2.0
ASF,MANSAC TERRASSON,,1.0,1.6,2.7,3.7,0.6
ASF,THOUARCE,,0.7,1.2,1.8,2.2,0.4
ASF,TONNAY CHARENTE,,0.7,1.2,1.9,2.6,0.4
ASF,TARARE EST OUVERT,,1.8,2.8,5.1,6.8,1.0
AREA,CHESNES,19,"2,3","3,5","5,6","6,9","1,1"
AREA,CHIGNIN BRETELLE,7,1,"1,6","2,7","3,7","0,5"
AREA,COPPONEX,11,"2,8","5,3","8,5","10,9","1,8"
AREA,CURSEILLES EST OUEST A410,25,"3,2","4,8","7,3","9,3","1,4"
AREA,CURSEILLES EST OUEST A41N,19,"7,8","14,6","21,7","26,7","4,3"
AREA,LE CROZET,31,"4,5",7,"9,9","12,7",2
AREA,SAINT EXUPERY,19,"2,3","3,5","5,6","6,9","1,1"
APRR,CROTTET,7.48,0.80,1.20,1.80,2.30,0.40
APRR,DORDIVES,61.53,6.00,9.00,14.10,18.90,3.70
APRR,FONTAINE LARIVIERE,33.20,3.10,4.90,7.80,10.90,1.90
APRR,GENAY,16.65,1.70,2.50,4.20,5.60,1.00
APRR,LE TOURNEAU,39.51,3.80,5.80,8.90,11.90,2.50
APRR,MIONNAY,9.34,1.00,1.50,2.40,3.30,0.50
APRR,MYENNES,32.93,4.20,6.00,8.40,11.90,2.80
APRR,QUINCIEUX BARRIERE,39.58,3.60,5.60,8.30,11.70,2.30
APRR,VICHY,12.96,1.20,1.90,2.90,4.00,0.70
COFIROUTE,ANCENIS DIR ANGERS,,5.20,8.90,14.40,16.90,3.20
COFIROUTE,ANCENIS DIR NANTES,,3.60,6.20,8.40,11.20,2.20
COFIROUTE,ANCENIS PEAGE,,10.40,16.20,24.50,33.00,6.20
UNKNOWN,BEAUPREAU SAINT GERMAIN,,1.80,3.30,4.80,5.40,1.10
UNKNOWN,SAINT JEAN DE LINIERES,,0.60,0.90,1.20,1.80,0.30
UNKNOWN,VIEILLEVILLE,,0.70,2.00,2.10,2.20,0.50
UNKNOWN,TOURS CENTRE CANDE,,2.10,3.40,5.80,7.50,1.40
