name,operator,lat,lon,type
CONDRIEU,ASF,45.5055132,4.8406636,open
PEAGE DE VIENNE,ASF,45.4761176,4.8330663,closed
AUBERIVES,ASF,45.3898018,4.8053591,closed
CHANAS,ASF,45.3211595,4.8098547,closed
TAIN,ASF,45.0684081,4.8684133,closed
VALENCE NORD,ASF,44.9701995,4.8875504,closed
VALENCE SUD,ASF,44.9049476,4.8801182,closed
LORIOL,ASF,44.756849,4.7912697,closed
MONTELIMAR NORD,ASF,44.6689369,4.7949641,closed
MONTELIMAR SUD,ASF,44.4813385,4.7635161,closed
BOLLENE,ASF,44.2902627,4.7509278,closed
ORANGE NORD,ASF,44.1642263,4.7645828,closed
ORANGE CENTRE,ASF,44.1353197,4.7956315,closed
ORANGE SUD,ASF,44.1109575,4.8452452,closed
AVIGNON NORD,ASF,43.9820509,4.8884123,closed
AVIGNON SUD,ASF,43.8929306,4.9158159,closed
CAVAILLON,ASF,43.8199281,5.0278555,closed
SENAS,ASF,43.7420819,5.0898154,closed
SALON NORD,ASF,43.6594307,5.1025902,closed
SALON SUD,ASF,43.6269017,5.106501,closed
GRANS,ASF,43.6229698,5.0835304,closed
SALON OUEST,ASF,43.6363295,5.0228102,closed
PEAGE DE SAINT MARTIN DE CRAU,ASF,43.6379262,4.8578292,closed
PEAGE DE LANCON,ASF,43.5937043,5.1747436,closed
COUDOUX,ASF,43.5523405,5.2383307,open
ROQUEMAURE,ASF,44.0256301,4.7353923,closed
REMOULINS,ASF,43.9373087,4.5983631,closed
NIMES EST,ASF,43.8560961,4.420576,closed
NIMES OUEST,ASF,43.8137306,4.3429068,closed
NIMES CENTRE,ASF,43.8074823,4.3744374,closed
NIMES GARONS,ASF,43.761307,4.4274639,closed
PEAGE D ARLES,ASF,43.690342,4.5446514,closed
GALLARGUES,ASF,43.7229495,4.1810614,closed
LUNEL,ASF,43.7027498,4.1197187,closed
PEAGE DE BAILLARGUES,ASF,43.6708729,4.0126478,closed
VIENNE SUD,ASF,45.4746418,4.8343996,open
SETE,ASF,43.4775255,3.6851276,closed
AGDE PEZENAS,ASF,43.3740078,3.417892,closed
PEAGE DE BEZIERS CABRIALS,ASF,43.3438596,3.2875375,closed
BEZIERS OUEST,ASF,43.304563,3.2190641,closed
NARBONNE EST,ASF,43.1790939,3.0348258,closed
NARBONNE SUD,ASF,43.1645016,2.9901729,closed
SIGEAN,ASF,43.0331894,2.9561957,closed
LEUCATE,ASF,42.9389777,2.9730298,closed
PERPIGNAN NORD,ASF,42.7817287,2.8973351,closed
PERPIGNAN SUD,ASF,42.6667471,2.8590489,closed
PEAGE DU PERTHUS,ASF,42.5277363,2.821473,closed
LEZIGNAN,ASF,43.17189,2.7411404,closed
CARCASSONNE EST,ASF,43.2020227,2.418166,closed
CARCASSONNE OUEST,ASF,43.1998981,2.3100831,closed
BRAM,ASF,43.238934,2.0999074,closed
CASTELNAUDARY,ASF,43.2907822,1.946745,closed
VILLEFRANCHE DE LAURAGAIS,ASF,43.3985865,1.6962059,closed
NAILLOUX,ASF,43.3824192,1.6168325,closed
MAZERES SAVERDUN,ASF,43.2344401,1.6360077,closed
PEAGE DE PAMIERS,ASF,43.1541446,1.6158718,closed
MONTGISCARD,ASF,43.4608882,1.5883118,closed
PEAGE DE TOULOUSE SUD OUEST,ASF,43.5453086,1.5000225,closed
PEAGE DE TOULOUSE SUD EST,ASF,43.5455566,1.5004396,closed
PEAGE DE MONTPELLIER ST JEAN,ASF,43.5617904,3.8301934,closed
LE BOULOU,ASF,42.5237027,2.8173684,closed
L UNION,ASF,43.6452356,1.4979269,open
PEAGE DE TOULOUSE EST,ASF,43.6473594,1.5077254,open
PEAGE DE TOULOUSE NORD OUEST,ASF,43.6580892,1.4271185,closed
SAINT JORY,ASF,43.7183094,1.3981013,closed
EUROCENTRE,ASF,43.7649417,1.3805023,closed
MONTAUBAN,ASF,43.9287005,1.3143202,closed
CASTELSARRASIN,ASF,44.0557632,1.097352,closed
VALENCE D AGEN,ASF,44.0641414,0.8665624,closed
AGEN,ASF,44.1650334,0.6056288,closed
AGEN OUEST,ASF,44.1875022,0.5460239,closed
AIGUILLON,ASF,44.2845338,0.2699371,closed
MARMANDE,ASF,44.4347709,0.1328803,closed
LA REOLE,ASF,44.5114169,-0.0495015,closed
LANGON,ASF,44.5443191,-0.2620828,closed
PODENSAC,ASF,44.6075445,-0.3668195,closed
PEAGE DE SAINT SELVE,ASF,44.6591839,-0.4540608,closed
BAZAS,A’LIENOR,44.4452449,-0.2423002,closed
CAPTIEUX,A’LIENOR,44.2860318,-0.2280667,closed
ROQUEFORT,A’LIENOR,44.04491,-0.343255,closed
LE CALOY,A’LIENOR,43.9469871,-0.393924,closed
AIRE SUR ADOUR NORD,A’LIENOR,43.7221639,-0.2707856,closed
AIRE SUR ADOUR SUD,A’LIENOR,43.6645842,-0.2766787,closed
GARLIN,A’LIENOR,43.5652949,-0.2926501,closed
THEZE,A’LIENOR,43.4713749,-0.3210547,closed
PEAGE DE SAMES,ASF,43.5297063,-1.1868429,closed
PEYREHORADE,ASF,43.5170174,-1.103737,closed
SALIES,ASF,43.5098572,-0.9218215,closed
ORTHEZ,ASF,43.4671974,-0.7486871,closed
ARTIX,ASF,43.3950598,-0.5511787,closed
LESCAR,ASF,43.3452483,-0.4188068,closed
PAU CENTRE,ASF,43.3304237,-0.3505117,closed
SOUMOULOU,ASF,43.2725542,-0.1999122,closed
TARBES OUEST,ASF,43.2207482,0.0236651,closed
TARBES EST,ASF,43.2137336,0.1083677,closed
TOURNAY,ASF,43.1774027,0.2399837,closed
CAPVERN,ASF,43.1033454,0.3427227,closed
LANNEMEZAN,ASF,43.097816,0.3903233,closed
MONTREJEAU,ASF,43.1001591,0.5953613,closed
SAINT GAUDENS,ASF,43.1156846,0.7566067,closed
PEAGE DE LESTELLE,ASF,43.1205699,0.8957946,closed
GUICHE,ASF,43.5123235,-1.2230649,open
PEAGE DE MURET,ASF,43.505462,1.3520299,open
LESTELLE DE SAINT MARTORY,ASF,43.1195337,0.8947521,open
PEAGE DE BIRIATOU,AUTOROUTES DU SUD DE LA FRANCE,43.3412455,-1.7496367,open
ST JEAN DE LUZ SUD,ASF,43.3719502,-1.6763524,open
PEAGE DE LA NEGRESSE,ASF,43.4491731,-1.5537438,open
BIARRITZ,ASF,43.4504664,-1.5544554,open
BAYONNE SUD,ASF,43.4622534,-1.4984754,open
ONDRES,ASF,43.5415617,-1.4355904,open
CAPBRETON,ASF,43.6305539,-1.3947363,open
PEAGE DE BENESSE MARENNE,ASF,43.6240583,-1.4005755,open
PEAGE DE MONTAUBAN NORD,ASF,44.0524498,1.4101071,closed
CAUSSADE,ASF,44.149933,1.5156002,closed
CAHORS SUD,ASF,44.3427348,1.4940673,closed
CAHORS NORD,ASF,44.5323371,1.5063224,closed
LABASTIDE MURAT,ASF,44.6981278,1.5805783,closed
SOUILLAC,ASF,44.9006891,1.5043301,closed
PEAGE DE GIGNAC,ASF,44.9907475,1.5265818,closed
MARTEL,ASF,44.9933565,1.5314244,open
MUSSIDAN EST,ASF,45.0653628,0.4297875,closed
MUSSIDAN SUD,ASF,45.0107553,0.3774855,closed
MONTPON MENESTEROL,ASF,44.9859243,0.1562632,closed
COUTRAS,ASF,45.0120743,-0.0998393,closed
LIBOURNE NORD,ASF,44.9570612,-0.2451243,closed
PEAGE D ARVEYRES,ASF,44.8851487,-0.268608,closed
PEAGE DE THENON,ASF,45.1513597,1.1675897,open
LA BACHELLERIE,ASF,45.1480869,1.1747099,open
MANSAC TERRASSON,ASF,45.1525541,1.3782132,open
PEAGE DE TOURS CENTRE,ASF,47.2184528,0.6577159,closed
SAINTE MAURE,ASF,47.1072866,0.5876617,closed
CHATELLERAULT NORD,ASF,46.8369794,0.530822,closed
CHATELLERAULT SUD,ASF,46.7786646,0.50452,closed
FUTUROSCOPE,ASF,46.6701286,0.3599572,closed
POITIERS NORD,VINCI,46.6215062,0.3437828,closed
POITIERS SUD,ASF,46.5489824,0.2892931,closed
ST MAIXENT SOUDAN,ASF,46.4255262,-0.0821627,closed
NIORT EST,ASF,46.3552904,-0.331188,closed
NIORT NORD,ASF,46.4193233,-0.3969591,closed
NIORT OUEST,ASF,46.3878963,-0.6478799,closed
FONTENAY CENTRE,ASF,46.4359963,-0.8214534,closed
FONTENAY OUEST,ASF,46.4646302,-0.8767346,closed
SAINTE HERMINE,ASF,46.5335213,-1.0791804,closed
CHANTONNAY,ASF,46.6272005,-1.1544805,closed
LES ESSARTS,ASF,46.7903968,-1.1946328,closed
PEAGE DE LA ROCHE SUR YON - LA ROCHE SUR YON,ASF,46.6725704,-1.3459591,closed
LES HERBIERS,ASF,46.9020192,-1.046772,closed
LA VERRIE,ASF,46.9446866,-0.9766132,closed
CHOLET SUD,ASF,47.0189982,-0.880635,closed
CHOLET NORD,ASF,47.0833658,-0.8280595,closed
CHEMILLE,ASF,47.2359369,-0.7276426,closed
PEAGE DE BEAULIEU S LAYON,ASF,47.3263959,-0.6040156,closed
MONTAIGU,ASF,46.9594945,-1.353045,closed
AIGREFEUILLE,ASF,47.0692661,-1.4374016,closed
PEAGE DU BIGNON,ASF,47.114722,-1.4919985,closed
VOUILLE,ASF,46.3074932,-0.3663971,closed
LA ROCHELLE NIORT SUD,ASF,46.2441045,-0.4606127,closed
ST JEAN D ANGELY - SAINT JEAN D ANGELY,ASF,45.9628699,-0.5458975,closed
PEAGE DE CABARIOT,ASF,45.9439955,-0.8491667,closed
SAINTES,ASF,45.7523174,-0.6639451,closed
PONS,ASF,45.5744618,-0.5956219,closed
MIRAMBEAU,ASF,45.3777,-0.5796224,closed
ST AUBIN DE BLAYE - SAINT AUBIN DE BLAYE,ASF,45.2543461,-0.5478033,closed
PEAGE DE VIRSAC,ASF,45.0235919,-0.4354379,closed
THOUARCE,ASF,47.3295057,-0.596352,open
TONNAY CHARENTE,ASF,45.9550146,-0.8811779,open
ABLIS,UNKNOWN,48.5288128,1.8324339,closed
CHARTRES EST,UNKNOWN,48.4551129,1.5391447,closed
THIVARS - CHARTRES THIVARS,UNKNOWN,48.3634354,1.444326,closed
ILLIERS COMBRAY,UNKNOWN,48.294416,1.2702437,closed
LUIGNY - BROU,UNKNOWN,48.2345952,1.0331397,closed
LA FERTE BERNARD,UNKNOWN,48.1499662,0.6872078,closed
CONNERRE,UNKNOWN,48.075376,0.4793078,closed
LE MANS NORD - LE MANS ZI NORD,UNKNOWN,48.050376,0.1739762,closed
AUVOURS,UNKNOWN,48.0046451,0.3124879,closed
PARIGNE L EVEQUE,UNKNOWN,47.9556467,0.3202046,closed
ECOMMOY,UNKNOWN,47.82037,0.3016977,closed
MONTABON,UNKNOWN,47.6860846,0.3714066,closed
PEAGE DE ST CHRISTOPHE,UNKNOWN,47.6382202,0.4967952,closed
PEAGE DU ROUMOIS,UNKNOWN,49.3539593,0.8350875,closed
BRIONNE,UNKNOWN,49.2420686,0.7724971,closed
BERNAY,UNKNOWN,49.1376884,0.5780951,closed
BROGLIE OUEST - ORBEC,UNKNOWN,49.0344273,0.4432192,closed
GACE,UNKNOWN,48.774355,0.3062189,closed
SEES,UNKNOWN,48.6352041,0.1871255,closed
PEAGE D ARGENTAN - ARGENTAN,COFIROUTE,48.6328851,0.1909656,closed
